-------------------------------------------------------
Vardas         Pavarde               Galutinis
-------------------------------------------------------
Vardas1        Pavarde1                      5
Vardas2        Pavarde2                      6
Vardas3        Pavarde3                      5
Vardas4        Pavarde4                      9
Vardas5        Pavarde5                      8
Vardas6        Pavarde6                      2
Vardas7        Pavarde7                      9
Vardas8        Pavarde8                      6
Vardas9        Pavarde9                      2
Vardas10       Pavarde10                     5
Vardas11       Pavarde11                     7
Vardas12       Pavarde12                     7
Vardas13       Pavarde13                     7
Vardas14       Pavarde14                    10
Vardas15       Pavarde15                     6
Vardas16       Pavarde16                     3
Vardas17       Pavarde17                     7
Vardas18       Pavarde18                     3
Vardas19       Pavarde19                     5
Vardas20       Pavarde20                     8
Vardas21       Pavarde21                     9
Vardas22       Pavarde22                     3
Vardas23       Pavarde23                     9
Vardas24       Pavarde24                     3
Vardas25       Pavarde25                     3
Vardas26       Pavarde26                     3
Vardas27       Pavarde27                     8
Vardas28       Pavarde28                     7
Vardas29       Pavarde29                     9
Vardas30       Pavarde30                     3
Vardas31       Pavarde31                     6
Vardas32       Pavarde32                     6
Vardas33       Pavarde33                     4
Vardas34       Pavarde34                     4
Vardas35       Pavarde35                     6
Vardas36       Pavarde36                     6
Vardas37       Pavarde37                     6
Vardas38       Pavarde38                     5
Vardas39       Pavarde39                     4
Vardas40       Pavarde40                     3
Vardas41       Pavarde41                    10
Vardas42       Pavarde42                     4
Vardas43       Pavarde43                     2
Vardas44       Pavarde44                     3
Vardas45       Pavarde45                     7
Vardas46       Pavarde46                     3
Vardas47       Pavarde47                     9
Vardas48       Pavarde48                     8
Vardas49       Pavarde49                     5
Vardas50       Pavarde50                    10
Vardas51       Pavarde51                     2
Vardas52       Pavarde52                     5
Vardas53       Pavarde53                     9
Vardas54       Pavarde54                     8
Vardas55       Pavarde55                     6
Vardas56       Pavarde56                     4
Vardas57       Pavarde57                     7
Vardas58       Pavarde58                     3
Vardas59       Pavarde59                     9
Vardas60       Pavarde60                     7
Vardas61       Pavarde61                     5
